"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 19:22:15 EET 2023","Mon Dec 18 19:22:26 EET 2023","11042","Default Suite","Blink_AutomationFrameWork","TestCases.DeleteEventTest","TestCases.DeleteEventTest","ShouldBeAbleToDeleteEvent","ShouldBeAbleToDeleteEvent",""
"broken","Mon Dec 18 19:17:24 EET 2023","Mon Dec 18 19:18:32 EET 2023","67948","Default Suite","Blink_AutomationFrameWork","TestScenarios.BlinkDEVFullHappyScenarioTest","TestScenarios.BlinkDEVFullHappyScenarioTest","ShouldBeAbleToExecuteFullHappyPathScenario","Full Scenario on Blink DEV Environment",""
